MovieID,tmdbId,Genres,Title,overview,tagline
1589,2142.0,Action|Crime|Drama|Thriller,Cop Land (1997),"Freddy Heflin is the sheriff of a place everyone calls “Cop Land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. Yet something ugly is taking place behind the town’s peaceful facade. And when Freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law.",No One Is Above The Law.
1590,8413.0,Horror|Sci-Fi|Thriller,Event Horizon (1997),"In 2047, a group of astronauts are sent to investigate and salvage the starship Event Horizon which disappeared mysteriously seven years before on its maiden voyage. However, it soon becomes evident that something sinister resides in its corridors.",Infinite space. Infinite terror.
1591,10336.0,Action|Adventure|Sci-Fi|Thriller,Spawn (1997),"After being murdered by corrupt colleagues in a covert government agency, Al Simmons makes a pact with the devil to be resurrected to see his beloved wife Wanda. In exchange for his return to Earth, Simmons agrees to lead Hell's Army in the destruction of mankind.",Born in darkness. Sworn to justice.
1592,20737.0,Children|Comedy,Air Bud (1997),A lonely boy befriends a stray dog who has a natural talent for basketball and together they experience the highs and lows of life as their friendship remains solid through a series of escapades.,He Sits. He Stays. He Shoots. He Scores.
1593,9413.0,Comedy|Romance,Picture Perfect (1997),"A young advertising executive's life becomes increasingly complicated when, in order to impress her boss, she pretends to be engaged to a man she has just met.",She was prepared for anything until love stormed in.
1594,14585.0,Comedy|Drama,In the Company of Men (1997),"Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.",Are all men bastards...or just misunderstood?
1596,49462.0,Drama,Career Girls (1997),"A young college student in London moves into a flat and becomes best friends with a flatmate; the former moves into her own flat 4 years later but 6 years after their parting, the former returns to London to pay the latter a visit.",All Hannah wanted was a roommate... instead she got a best friend.
1597,8834.0,Drama|Mystery|Romance|Thriller,Conspiracy Theory (1997),"A man obsessed with conspiracy theories becomes a target after one of his theories turns out to be true. Unfortunately, in order to save himself, he has to figure out which theory it is.",What if your most paranoid nightmares had just come true?
1598,9458.0,Crime|Drama|Thriller,Desperate Measures (1998),"San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape, the entire hospital becomes a battleground and Connor must pursue and, ironically, protect the deadly fugitive who is his son's only hope for survival.",Desperate times call for. . .
1599,8854.0,Action,Steel (1997),"When a renegade military reject puts new superweapons in dangerous hands, John Henry Irons becomes Steel. Wearing body armor, wielding a fearsome electrohammer and riding a gadget-packed motorcycle, he's ready to wage war... if he can fix the untimely glitches in his untested gear.",Heroes don't come any bigger.
1600,38295.0,Drama|Romance,She's So Lovely (1997),"After being released from a psychiatric institution, a man tries to redeem himself in the eyes of his now-ex wife from the events that led up to his incarceration.",The story of one outrageous woman. Caught between two men. Both of them certain of one thing...
1601,22073.0,Crime|Drama|Film-Noir,Hoodlum (1997),"In 1934, the second most lucrative business in New York City was running 'the numbers'. When Madam Queen—the powerful woman who runs the scam in Harlem—is arrested, Ellsworth 'Bumpy' Johnson takes over the business and must resist an invasion from a merciless mobster.",Power is measured in enemies.
1602,37244.0,Comedy,Leave It to Beaver (1997),"Cleavers are an all-American family living in Ohio - wise father Ward, loving mother June, teen-age son Wally and 8-year-old ""Beaver"" Theodore. Beaver hopes to get a bike as a gift from his father and to please him tries out for his school football team and he makes it, only to be embarrassed. The bike he gets is quickly stolen. Meanwhile Wally is trying to help his friend Eddie Haskell to get the heart of pretty classmate Karen, but Karen seems to like Wally more, and that leads to tensions between the friends.",The Beav is back!
1603,4961.0,Horror|Sci-Fi|Thriller,Mimic (1997),"A disease carried by common cockroaches is killing Manhattan children. In an effort to stop the epidemic an entomologist, Susan Tyler, creates a mutant breed of insect that secretes a fluid to kill the roaches. This mutant breed was engineered to die after one generation, but three years later Susan finds out that the species has survived and evolved into a large, gruesome monster that can mimic human form.","For thousands of years, man has been evolution's greatest creation... until now."
1604,9416.0,Action|Comedy,Money Talks (1997),"Sought by police and criminals, a small-time huckster makes a deal with a TV newsman for protection.",This ain't no buddy movie.
1605,26180.0,Adventure|Romance,Excess Baggage (1997),"A rich brat fakes her own kidnapping, but in the process ends up locked in the trunk of a car that gets stolen.","A crash course in kidnappings, car thefts and other rituals of dating."
1606,17832.0,Action|Adventure,Kull the Conqueror (1997),"A barbarian named Kull becomes ruler after defeating the old king in battle. In an effort to regain the throne, the former king's heirs resurrect Akivasha, a witch queen. However, Akivasha has plans of her own for the throne, and only Kull stands in the way.",Courage conquers all.
1608,9772.0,Action|Thriller,Air Force One (1997),"When Russian neo-nationalists hijack Air Force One, the world's most secure and extraordinary aircraft, the President is faced with a nearly impossible decision to give in to terrorist demands or sacrifice not only the country's dignity, but the lives of his wife and daughter.",The fate of the nation rests on the courage of one man.
1609,6072.0,Drama|Thriller,187 (One Eight Seven) (1997),"After surviving a stabbing by a student, teacher Trevor Garfield moves from New York to Los Angeles. There, he resumes teaching as a substitute teacher. The education system, where violent bullies control the classrooms and the administration is afraid of lawsuits, slowly drives Garfield mad.","When schools become war zones and both sides start taking casualties, what then?"
1610,1669.0,Action|Adventure|Thriller,"Hunt for Red October, The (1990)","A new technologically-superior Soviet nuclear sub, the Red October, is heading for the U.S. coast under the command of Captain Marko Ramius. The American government thinks Ramius is planning to attack. Lone CIA analyst Jack Ryan has a different idea: he thinks Ramius is planning to defect, but he has only a few hours to find him and prove it - because the entire Russian naval and air commands are trying to find Ramius, too. The hunt is on!",Invisible. Silent. Stolen.
1611,468.0,Drama|Romance,My Own Private Idaho (1991),"In this loose adaptation of Shakespeare's ""Henry IV,"" Mike Waters is a hustler afflicted with narcolepsy. Scott Favor is the rebellious son of a mayor. Together, the two travel from Portland, Oregon to Idaho and finally to the coast of Italy in a quest to find Mike's estranged mother. Along the way they turn tricks for money and drugs, eventually attracting the attention of a wealthy benefactor and sexual deviant.","Wherever, whatever, have a nice day."
1612,32519.0,Comedy,"Kiss Me, Guido (1997)","When he discovers his girlfriend having sex with his brother, Frankie decides to head to Manhattan, leaving his Bronx pizza shop forever for the fame and fortune of show business. But before stardom, he needs a place to stay. Looking in the personals, he notices GWM. And thinking it ""Guy with Money,"" he heads to the Village and the apartment of gay actor Warren, who's in desperate need of this month's rent.",
1613,108401.0,Drama,Star Maps (1997),"Carlos wants to be an actor. But his father, Pepe, wants him to work in the family business, that is, male prostitution. Carlos decides that he will be one of his father's boys until he can get his foot in the door in Hollywood.",In Hollywood every dream has a price.
1614,10806.0,Comedy,In & Out (1997),A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.,An out-and-out comedy.
1615,9433.0,Adventure|Drama,"Edge, The (1997)","The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.","They were fighting over a woman when the plane went down. Now, their only chance for survival is each other."
1616,6623.0,Action|Thriller|War,"Peacemaker, The (1997)","When a train carrying atomic warheads mysteriously crashes in the former Soviet Union, a nuclear specialist discovers the accident is really part of a plot to cover up the theft of the weapons. Assigned to help her recover the missing bombs is a crack Special Forces Colonel.","In the fall of 1997, every nuclear device in the world will be accounted for...except one."
1617,2118.0,Crime|Film-Noir|Mystery|Thriller,L.A. Confidential (1997),Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.,Everything is suspect... Everyone is for sale... And nothing is what it seems.
1619,978.0,Adventure|Drama|War,Seven Years in Tibet (1997),"Austrian mountaineer Heinrich Harrer journeys to the Himalayas without his family to head an expedition in 1939. But when World War II breaks out, the arrogant Harrer falls into Allied forces' hands as a prisoner of war. He escapes with a fellow detainee and makes his way to Llaso, Tibet, where he meets the 14-year-old Dalai Lama, whose friendship ultimately transforms his outlook on life.",At the end of the world his real journey began.
1620,9437.0,Crime|Drama|Mystery|Thriller,Kiss the Girls (1997),"Forensic psychologist and detective Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",Smart girls. Pretty girls. Missing girls.
1621,29461.0,Drama,Soul Food (1997),"Traditional Sunday dinners at Mama Joe's (Irma P. Hall) turn sour when sisters Teri (Vanessa L. Williams), Bird (Nia Long) and Maxine (Vivica A. Fox) start bringing their problems to the dinner table in this ensemble comedy. When tragedy strikes, it's up to grandson Ahmad (Brandon Hammond) to pull the family together and put the soul back into the family's weekly gatherings.",Every family needs some.
1623,10351.0,Horror,Wishmaster (1997),"The Djinn having been released from his ancient prison seeks to capture the soul of the woman who discovered him, thereby opening a portal and freeing his fellow Djinn to take over the earth.",Be careful what you wish for.
1624,66588.0,Drama,"Thousand Acres, A (1997)",The lives of an Iowa farmer's three daughters are shattered when he suddenly decides to bequeath them the family's fertile farm.,Best friends. Bitter rivals. Sisters.
1625,2649.0,Drama|Mystery|Thriller,"Game, The (1997)","In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a cold-hearted loner, receives an unusual present from his younger brother, Conrad: a gift certificate to play a unique kind of game. In nary a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",What do you get for the man who has everything?
1626,14289.0,Action|Drama|Thriller,Fire Down Below (1997),"When an EPA representative is murdered in a small Appalachian community, EPA undercover agent Jack Taggart is sent in—posing as a handyman working with a Christian relief agency—to determine what happened.",Beneath a land of wealth and beauty hides a secret that could kill millions. Undercover has never run so deep.
1627,10155.0,Crime|Drama|Mystery,U Turn (1997),"When Bobby's car breaks down in the desert while on the run from some of the bookies who have already taken two of his fingers, he becomes trapped in the nearby small town where the people are stranger than anyone he's encountered. After becoming involved with a young married woman, her husband hires Bobby to kill her. Later, she hires Bobby to kill the husband.",Sex. Murder. Betrayal. Everything that makes life worth living.
1629,20457.0,Comedy|Romance,"MatchMaker, The (1997)","Marcy, a worker in the reelection campaign of bumbling Senator John McGlory, is sent to Ireland on a quest to find the Irish ancestry of Sen. McGlory, to help him win the Irish vote. But when Marcy arrives in the small village of Ballinagra, she finds herself in the middle of a matchmaking festival, and the local matchmaker is determined to pair her off with one of the local bachelors.",A comedy for the incurably unromantic.
1631,18355.0,Action|Thriller,"Assignment, The (1997)","Jack Shaw has experienced the terror first-hand. He's a top CIA agent who's tracked international killer-for-hire Carlos ""The Jackal"" Sanchez for over twenty years and barely survived Carlos' devastating bombing of a Parisian cafe. Now, he finally gets a break when he discovers Carlos' dead ringer: American naval officer and dedicated family man Annibal Ramirez.",
1633,55306.0,Drama,Ulee's Gold (1997),"Third-generation Florida beekeeper Ulee Jackson may have gotten out of Vietnam alive, but he left a part of himself behind. Now he methodically tends his bees, carefully provides for his two grandchildren and keeps his emotions at bay. But when a long-buried secret threatens Ulee's business and family, he is forced to break through his emotional walls and confront the terror of his wounded spirit.",
1635,68924.0,Drama,"Ice Storm, The (1997)","In the weekend after thanksgiving 1973 the Hood family is skidding out of control. Then an ice storm hits, the worst in a century.","It was 1973, and the climate was changing."
1639,2255.0,Comedy|Drama|Romance,Chasing Amy (1997),"Holden and Banky are comic book artists. Everything is going good for them until they meet Alyssa, also a comic book artist. Holden falls for her, but his hopes are crushed when he finds out she's a lesbian.",It's not who you love. It's how.
1641,9427.0,Comedy|Drama,"Full Monty, The (1997)","Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",The year's most revealing comedy.
1642,172545.0,Comedy|Drama,Indian Summer (a.k.a. Alive & Kicking) (1996),"A passionately committed young dancer is forced to re-examine his career and life when faced with death, finding hope through an older man who becomes his lover, mentor and companion.",Love is the ultimate kick
1643,17589.0,Drama|Romance,"Mrs. Brown (a.k.a. Her Majesty, Mrs. Brown) (1997)","When Queen Victoria's husband Prince Albert dies, she finds solace in her trusted servant, Mr. John Brown. But their relationship also brings scandal and turmoil to the monarchy.",Loyalty without question. Friendship without equal.
1644,3597.0,Horror|Mystery|Thriller,I Know What You Did Last Summer (1997),"After an accident on a winding road, four teens make the fatal mistake of dumping their victim's body into the sea. Exactly one year later, the deadly secret resurfaces as they're stalked by a hook-handed figure.","If you're going to bury the truth, make sure it stays buried."
1645,1813.0,Drama|Mystery|Thriller,The Devil's Advocate (1997),"Aspiring Florida defense lawyer Kevin Lomax accepts a job at a New York law firm. With the stakes getting higher every case, Kevin quickly learns that his boss has something far more evil planned.",The newest attorney at the world's most powerful law firm has never lost a case. But he's about to lose his soul.
1646,36797.0,Children|Comedy|Romance|Sci-Fi,RocketMan (a.k.a. Rocket Man) (1997),"Fred Z. Randall is geeky and obnoxious spacecraft designer, who gets the chance to make his dream come true and travel to Mars as a member of the first manned flight there.",He's just taking up space!
1647,12628.0,Crime|Drama|Thriller,Playing God (1997),"Stripped of his medical license after performing an operation while high on amphetamines, famed LA surgeon Dr Eugene Sands abandons his former life only to find himself crossing paths with Raymond Blossom, an infamous counterfeiter. Employed as a ""gun-shot doctor"" when Raymond's associates cannot risk visiting a hospital, Eugene is lured deep into the criminal world and becomes entangled with his boss's girlfriend.",Joining this deadly underworld was easy. But getting out...deadly!
1648,33344.0,Comedy|Drama,"House of Yes, The (1997)","Jackie-O is anxiously awaiting the visit of her brother home for Thanksgiving, but isn't expecting him to bring a friend — and she's even more shocked to learn that this friend is his fiance. It soon becomes clear that her obsession with Jackie Kennedy is nothing compared to her obsession with her brother, and she isn't the only member of the family with problems.",Enter at your own risk.
1649,25099.0,Documentary,"Fast, Cheap & Out of Control (1997)","Errol Morris’s Fast, Cheap & Out of Control interweaves the stories of four men, each driven to create eccentric worlds from their unique obsessions, all of which involve animals. There’s a lion tamer who shares his theories on the mental processes of wild animals; a topiary gardener who has devoted a lifetime to shaping bears and giraffes out of hedges and trees; a man fascinated with hairless mole rats; and an MIT scientist who has designed complex, autonomous robots that can crawl like bugs.",
1650,45019.0,Drama,Washington Square (1997),"Set in 1870's New York, a spinster heiress is courted by a much younger, penniless man, much to the chagrin of her over-protective father, and must decide whether to spend the rest of her life alone, or marry a man who is interested in her only because of her inheritence.",She must choose between her father's fortune... Or the man she loves.
1652,62422.0,Documentary,Year of the Horse (1997),"Indie director Jim Jarmusch lenses a low-tech tribute to protean rocker Neil Young and his long-standing band, Crazy Horse. Stitched together from archival material shot in 1976 and 1986 along with candid scenes of Young and the band kicking back between shows, this rockumentary is as ragged as it is direct.",
1653,782.0,Drama|Sci-Fi|Thriller,Gattaca (1997),"In a future society in the era of indefinite eugenics, humans are set on a life course depending on their DNA. Young Vincent Freeman is born with a condition that would prevent him from space travel, yet is determined to infiltrate the GATTACA space program.",There is no gene for the human spirit.
1654,29911.0,Children|Drama|Fantasy,FairyTale: A True Story (1997),"Two children in 1917 take a photograph, believed by some to be the first scientific evidence of the existence of fairies. Based on a true story",Believe.
1655,9827.0,Drama|Horror|Thriller,Phantoms (1998),"In the peaceful Colorado town of Snowfield, something evil has wiped out the community. And now, it's up to a group of people to stop it, or at least get out of Snowfield alive.",For centuries they told us the terror would come from above. We've been looking the wrong way.
1656,1959.0,Drama|Romance,Swept from the Sea (1997),"The film tells the story of Russian emigree and the only survivor from ship crash Yanko Goorall and servant Amy Foster in the end of 19th century. When Yanko enters a farm sick and hungry after the shipwreck, everyone is afraid of him, except for Amy, who is very kind and helps him. Soon he becomes like a son for Dr. James Kennedy and romance between Yanko and Amy follows.","In the heart of an outcast, he found his destiny. In the passion of an outsider, she found her home."
1658,8067.0,Romance|Thriller,"Life Less Ordinary, A (1997)","A couple of angels, O'Reilly and Jackson, are sent to Earth to make sure that their next supervised love-connection succeeds. They follow Celine, a spoiled rich girl who has just accidentally shot a suitor and, due to a misunderstanding, is kidnapped by janitor Robert. Although Celine quickly frees herself, she stays with Robert for thrills. O'Reilly and Jackson pursue, hoping to unite the prospective lovers.",Did they fall in love or were they pushed?
1659,125052.0,Drama,Hurricane Streets (1997),Marcus is a New York City street kid torn between his friends' criminal activities and a girl trying to keep him out of trouble.,Know life. No limits.
1660,45153.0,Drama,Eve's Bayou (1997),"Summer heats up in rural Louisiana beside Eve’s Bayou, 1962, as the Batiste family tries to survive the secrets they’ve kept and the betrayals they’ve endured.",The secrets that hold us together can also tear us apart.
1661,10871.0,Crime|Mystery|Thriller,Switchback (1997),"After FBI agent Frank Lacrosse believes his son was kidnapped by a notorious serial killer, he travels to Amarillo, Texas, where he believes the murderer is in hiding. Although officially taken off the case because of its personal significance to him, Frank continues to pursue the killer, causing concern for local sheriff Buck Olmstead. When another victim pops up at a nearby car garage, Frank knows that he is as close as he'll ever be to tracking down the elusive killer.",The hunter becomes the hunted.
1662,14398.0,Crime,Gang Related (1997),"Two corrupt cops have a successful, seemingly perfect money making scheme- they sell drugs that they seize from dealers, kill the dealers, and blame the crimes on street gangs. Their scheme is going along smoothly until they kill an undercover DEA agent posing as a dealer, and then try to cover-up their crime.",Some cops play by the rules. Their own.
1663,10890.0,Comedy|War,Stripes (1981),"John Winger, an indolent sad sack in his 30s, impulsively joins the US Army after losing his job, his girlfriend and his apartment.",The story of a man who wanted to keep the world safe for democracy...and meet girls.
1665,1281.0,Comedy,Bean (1997),"Childlike Englishman, Mr. Bean, is an incompetent watchman at the Royal National Gallery. After the museum's board of directors' attempt to have him fired is blocked by the chairman, who has taken a liking to Bean, they send him to Los Angeles to act as their ambassador for the unveiling of a historic painting to humiliate him. Fooled, Mr. Bean must now successfully unveil the painting or risk his and a hapless Los Angeles curator's termination.",One man. One masterpiece. One very big mistake.
1667,9770.0,Action|Drama,Mad City (1997),A misguided museum guard who loses his job and then tries to get it back at gunpoint is thrown into the fierce world of ratings-driven TV gone mad.,One man will make a mistake. The other will make it a spectacle.
1670,14905.0,Drama|War,Welcome to Sarajevo (1997),"Follow a group of international journalists into the heart of the once cosmopolitan city of Sarajevo—now a danger zone of sniper and mortar attacks where residents still live. While reporting on an American aid worker who’s trying to get children out of the country, a British correspondent decides to take an orphaned girl home to London.","To get the story, they’ll risk everything."
1671,14583.0,Crime|Drama|Thriller,Deceiver (1997),"The gruesome death of a prostitute brings suspicion on one of her clients, James Wayland, a brilliant, self-destructive and epileptic heir to a textile fortune. So detectives Braxton and Kennesaw take Wayland in for questioning, thinking they can break the man. But despite his troubles, Wayland is a master of manipulation, and during the interrogation, he begins to turn the tables on the investigators, forcing them to reveal their own sinister sides.",There are two sides to every lie.
1672,11975.0,Drama,"Rainmaker, The (1997)","When Rudy Baylor, a young attorney with no clients, goes to work for a seedy ambulance chaser, he wants to help the parents of a terminally ill boy in their suit against an insurance company. But to take on corporate America, Rudy and a scrappy paralegal must open their own law firm.",They were totally unqualified to try the case of a lifetime... but every underdog has his day.
1673,4995.0,Drama,Boogie Nights (1997),"Set in 1977, back when sex was safe, pleasure was a business and business was booming, idealistic porn producer Jack Horner aspires to elevate his craft to an art form. Horner discovers Eddie Adams, a hot young talent working as a busboy in a nightclub, and welcomes him into the extended family of movie-makers, misfits and hangers-on that are always around. Adams' rise from nobody to a celebrity adult entertainer is meteoric, and soon the whole world seems to know his porn alter ego, ""Dirk Diggler"". Now, when disco and drugs are in vogue, fashion is in flux and the party never seems to stop, Adams' dreams of turning sex into stardom are about to collide with cold, hard reality.","The life of a dreamer, the days of a business, and the nights in between."
1674,9281.0,Drama|Romance|Thriller,Witness (1985),"A sheltered Amish child is the sole witness of a brutal murder in a restroom at a Philadelphia train station, and he must be protected.  The assignment falls to a taciturn detective who goes undercover in a Pennsylvania Dutch community. On the farm, he slowly assimilates despite his urban grit, and forges a romantic bond with the child's beautiful mother.",A big city cop. A small country boy. They have nothing in common... but a murder.
1675,45928.0,Crime|Thriller,Incognito (1997),"Harry Donovan is an art forger who paints fake Rembrandt picture for $500,000. The girl he meets and gets into bed with in Paris, Marieke, turns out to be an arts expert Harry's clients are using to check the counterfeit picture he painted.",Harry Donovan is a master in the art of deception... trapped in a lie so perfect even the truth can't save him.
1676,563.0,Action|Sci-Fi,Starship Troopers (1997),"Set in the future, the story follows a young soldier named Johnny Rico and his exploits in the Mobile Infantry. Rico's military career progresses from recruit to non-commissioned officer and finally to officer against the backdrop of an interstellar war between mankind and an arachnoid species known as ""the Bugs"".",A new kind of enemy. A new kind of war.
1677,61337.0,Comedy|Drama,Critical Care (1997),"Werner Ernst is a young hospital resident who becomes embroiled in a legal battle between two half-sisters who are fighting over the care of their comatose father. But are they really fighting over their father's care, or over his $10 million estate? Meanwhile, Werner must contend with his nutty supervisor, who insists that he only care for patients with full insurance. Can Werner sidestep the hospital's legal team and do what's best for the patient?",
1678,19931.0,Drama|Romance,"Joy Luck Club, The (1993)","Through a series of flashbacks, four Chinese women born in America and their respective mothers born in feudal China explore their pasts.",Between every mother and daughter there is a story that must be told.
1679,31535.0,Comedy,Chairman of the Board (1998),"Surfer Edison isn't able to make ends meet with his inventions or his lifestyle. But then he meets billionaire Armand McMillian, who takes a shine to the young bum — so much so that he leaves his invention company to him upon his death. Unfortunately, Armand's nephew, Bradford, only gets a surfboard. While Edison manages to run the company successfully, with the help of pretty Natalie, Bradford conspires to take him down.",Work sucks!
1680,10215.0,Drama|Romance,Sliding Doors (1998),"London publicist Helen, effortlessly slides between parallel storylines that show what happens when she does or does not catch a train back to her apartment. Love. Romantic entanglements. Deception. Trust. Friendship. Comedy. All come into focus as the two stories shift back and forth, overlap and surprisingly converge.",What if one split second sent your life in two completely different directions?
1681,9823.0,Action|Adventure|Fantasy,Mortal Kombat: Annihilation (1997),"A group of heroic warriors has only six days to save the planet in ""Mortal Kombat Annihilation."" To succeed they must survive the most spectacular series of challenges any human, or god, has ever encountered as they battle an evil warlord bent on taking control of Earth.",Destroy all expectations.
1682,37165.0,Comedy|Drama|Sci-Fi,"Truman Show, The (1998)","Every second of every day, from the moment he was born, for the last thirty years, Truman Burbank has been the unwitting star of the longest running, most popular documentary-soap opera in history. The picture-perfect town of Seahaven that he calls home is actually a gigantic soundstage. Truman's friends and family - everyone he meets, in fact - are actors. He lives every moment under the unblinking gaze of thousands of hidden TV cameras.",On the air. Unaware.
1683,45609.0,Drama|Romance,"Wings of the Dove, The (1997)","Kate is secretly betrothed to a struggling journalist, Merton Densher. But she knows her Aunt Maude will never approve of the match, since Kate's deceased mother has lost all her money in a marriage to a degenerate opium addict. When Kate meets a terminally ill American heiress named Millie traveling through Europe, she comes up with a conniving plan to have both love and wealth.",A couple with everything but money. An heiress with everything but love. A temptation no one could resist.
1684,38904.0,Drama|Romance,Mrs. Dalloway (1997),"Clarissa Dalloway looks back on her youth as she readies for a gathering at her house. The wife of a legislator and a doyenne of London's upper-crust party scene, Clarissa finds that the plight of ailing war veteran Septimus Warren Smith reminds her of a past romance with Peter Walsh. In flashbacks, young Clarissa explores her possibilities with Peter.",
1685,45565.0,Drama|Romance,"I Love You, I Love You Not (1996)",A school student and her European-born grandmother share sad stories of their lives.,
1686,9407.0,Crime|Thriller,Red Corner (1997),"An American attorney on business in China, ends up wrongfully on trial for murder and his only key to innocence is a female defense lawyer from the country.",Severity for those who resist.
1687,4824.0,Action|Thriller,"Jackal, The (1997)","Hired by a powerful member of the Russian mafia to avenge an FBI sting that left his brother dead, a psychopathic hitman known only as The Jackal proves an elusive target for the people charged with the task of bringing him down: a deputy FBI director, a Russian MVK Major,  and a jailed IRA terrorist who can recognize him.",How do you stop an assassin who has no identity?
1688,9444.0,Adventure|Animation|Children|Drama|Musical,Anastasia (1997),"Ten years after she was separated from her family, an eighteen-year-old orphan with vague memories of the past sets out to Paris in hopes of reuniting with her grandmother. She is accompanied by two con men, who intend to pass her off as the Grand Duchess Anastasia to the Dowager Empress for a reward.",Discover the adventure behind the greatest mystery of our time.
1689,9414.0,Comedy|Crime|Thriller,"Man Who Knew Too Little, The (1997)","An American gets a ticket for an audience participation game in London, then gets involved in a case of mistaken identity. As an international plot unravels around him, he thinks it's all part of the act.","He’s on a mission so secret, even he doesn’t know about it."
1690,8078.0,Action|Horror|Sci-Fi,Alien: Resurrection (1997),"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth.",It's already too late.
1693,11831.0,Drama|Mystery,Amistad (1997),"In 1839, the slave ship Amistad set sail from Cuba to America. During the long trip, Cinque leads the slaves in an unprecedented uprising. They are then held prisoner in Connecticut, and their release becomes the subject of heated debate. Freed slave Theodore Joadson wants Cinque and the others exonerated and recruits property lawyer Roger Baldwin to help his case. Eventually, John Quincy Adams also becomes an ally.",Freedom is not given. It is our right at birth. But there are some moments when it must be taken.
1694,2895.0,Drama,"Apostle, The (1997)","After his happy life spins out of control, a preacher from Texas changes his name, goes to Louisiana and starts preaching on the radio.",The hardest soul to save was his own.
1695,39177.0,Drama,Artemisia (1997),"The story of Artemisia Gentileschi (1593-1653), one of the first well-known female painters, including her youth, when she was guided and protected by her father, the painter Orazio Gentileschi.",Her passion for her art changed the face of history.
1696,19601.0,Drama|War,Bent (1997),"Max is a handsome young man who, after a fateful tryst with a German soldier, is forced to run for his life. Eventually Max is placed in a concentration camp where he pretends to be Jewish because in the eyes of the Nazis, gays are the lowest form of human being. But it takes a relationship with an openly gay prisoner to teach Max that without the love of another, life is not worth living.","In a time of war, they found themselves in the most dangerous place of all. In love."
1699,22797.0,Comedy|Drama,"Butcher Boy, The (1997)","Francie and Joe live the usual playful, fantasy filled childhoods of normal boys. However, with a violent, alcoholic father and a manic depressive, suicidal mother the pressure on Francie to grow up are immense. When Francie's world turns to madness, he tries to counter it with further insanity, with dire consequences.",This little piggy laughed all the way home!
1701,2639.0,Comedy|Drama,Deconstructing Harry (1997),"Writer Harry Block draws inspiration from people he knows, and from events that happened to him, sometimes causing these people to become alienated from him as a result.","Harry Block wrote a bestseller about his best friends. Now, his best friends are about to become his worst enemies."
1702,9574.0,Children|Comedy|Fantasy,Flubber (1997),"Professor Phillip Brainard, an absent minded professor, works with his assistant Weebo, trying to create a substance that's a new source of energy and that will save Medfield College where his sweetheart Sara is the president. He has missed his wedding twice, and on the afternoon of his third wedding, Professor Brainard creates flubber, which allows objects to fly through the air.",Catch it if you can!
1703,10371.0,Comedy,For Richer or Poorer (1997),"Brad Sexton and his wife, Caroline, are wealthy New Yorkers with both marital and financial problems. The latter issue becomes a pressing matter when they discover that their accountant has embezzled millions and pinned the blame on them. Forced to go on the lam, Brad and Caroline end up in an Amish area of Pennsylvania and decide to pose as members of the religious group to evade the IRS. As the two adapt to the simple Amish lifestyle, they begin to reconnect.",
1704,489.0,Drama|Romance,Good Will Hunting (1997),"When professors discover that an aimless janitor is also a math genius, a therapist helps the young man confront the demons that are holding him back.","Some people can never believe in themselves, until someone believes in them."
1707,9714.0,Children|Comedy,Home Alone 3 (1997),"9-year-old Alex Pruitt is home alone with the chicken pox. Turns out, due to a mix-up among nefarious spies, Alex was given a toy car concealing a top-secret microchip. Now Alex must fend off the spies as they try to break into his house to get it back.",There's a new kid on the block.
1711,8197.0,Crime|Drama|Mystery,Midnight in the Garden of Good and Evil (1997),"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.","Welcome to Savannah, Georgia. A city of hot nights and cold blooded murder."
1713,6283.0,Children|Comedy,Mouse Hunt (1997),"Down-on-their luck brothers, Lars and Ernie Smuntz, aren't happy with the crumbling old mansion they inherit... until they discover the estate is worth millions. Before they can cash in, they have to rid the house of its single, stubborn occupant—a tiny and tenacious mouse.",Who's hunting who?
